roc_auc,pr_auc,f1_macro_0.5,f1_binary_0.5,accuracy_0.5,precision_0.5,recall_0.5,threshold_0.5,f1_macro_youden,f1_binary_youden,accuracy_youden,precision_youden,recall_youden,threshold_youden,f1_macro_f1_optimal,f1_binary_f1_optimal,accuracy_f1_optimal,precision_f1_optimal,recall_f1_optimal,threshold_f1_optimal,feature_set,model,split,n_features,f1_macro,f1_binary,accuracy,threshold_method,roc_auc_std,f1_macro_std
0.817336978459506,0.5359314700496366,0.789791389124836,0.6319218241042345,0.9083536090835361,0.6799065420560748,0.59026369168357,0.5,0.7903113445328587,0.6342494714587738,0.9064612057312788,0.6622516556291391,0.6085192697768763,0.398,0.7995263241099054,0.6471251409244645,0.915382535820492,0.7284263959390863,0.5821501014198783,0.586,paper_13,RF,70/30,14,,,,,,
0.8097143540445844,0.558527693224771,0.7163358612527795,0.5262295081967213,0.8437415517707488,0.44154057771664373,0.6511156186612576,0.5,0.7386848671991614,0.556350626118068,0.8659097053257637,0.4976,0.6308316430020284,0.5406441688537598,0.7432205138987988,0.5567620927936822,0.8786158421194917,0.5423076923076923,0.5720081135902637,0.5833713412284851,paper_13_cont_BMI,XGB_spw,70/30,14,,,,,,
0.8078610394714687,0.5022801609185278,,,,,,,,,,,,,,,,,,,paper_13_cont_BMI,XGB_default,5fold_CV,14,0.6263798862732693,0.3159343782087237,0.8843376560848911,0.5,0.02043242686920155,0.017252458269556112
0.8078610394714687,0.5022801609185278,,,,,,,,,,,,,,,,,,,paper_13_cont_BMI,XGB_default,5fold_CV,14,0.7177850882041042,0.5107993688024142,0.869737679225842,f1_optimal,0.02043242686920155,0.019592795907780184
0.8031087755083965,0.5002240892100757,0.6407736096618557,0.34418604651162793,0.8856447688564477,0.7302631578947368,0.22515212981744423,0.5,0.6467192778376336,0.4472049689440994,0.7593944309272777,0.3222918531781558,0.7302231237322515,0.1361415535211563,0.7076178813052633,0.4945164506480558,0.8629359286293593,0.48627450980392156,0.5030425963488844,0.2518496513366699,paper_13_cont_BMI,XGB_default,70/30,14,,,,,,
0.7772359508477387,0.40483631239399265,0.6413564189907789,0.4243668720054757,0.7726412543930792,0.3202479338842975,0.6288032454361054,0.5,0.5963696727210815,0.3967914438502674,0.6950527169505272,0.2694262890341322,0.7525354969574036,0.3999585509300232,0.6770958498937055,0.45161290322580644,0.8345498783454988,0.4044943820224719,0.5111561866125761,0.6078989505767822,paper_11,XGB_spw,70/30,12,,,,,,
0.7765001347625332,0.4233205005912869,0.6457882645961386,0.42736248236953456,0.7804812111381454,0.32756756756756755,0.6146044624746451,0.5,0.6130872866228081,0.408491107286288,0.7212760205460935,0.2848,0.7221095334685599,0.4041776657104492,0.684912445887844,0.4613953488372093,0.8434712084347121,0.4261168384879725,0.5030425963488844,0.6186197996139526,paper_13,XGB_spw,70/30,14,,,,,,
0.7676721108167743,0.3986994464595542,,,,,,,,,,,,,,,,,,,paper_13,XGB_default,5fold_CV,14,0.5704117760552608,0.20901675179390494,0.8744423003421242,0.5,0.012352160364647334,0.014646012223846643
0.7676721108167743,0.3986994464595542,,,,,,,,,,,,,,,,,,,paper_13,XGB_default,5fold_CV,14,0.6572013678778601,0.4226428323771946,0.8182327551934162,f1_optimal,0.012352160364647334,0.012635635778597842
0.7659126190440212,0.3781641142014361,,,,,,,,,,,,,,,,,,,paper_13_cont_BMI,XGB_spw,5fold_CV,14,0.6150599527287937,0.3943850921494646,0.7416122772066569,0.5,0.014328185001295422,0.01413808877247543
