Model,Seed,Fold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall
5_RandomForest,42,5,0.6703661474584836,0.5126420471495774,0.44573848597141347,0.7098919368246052,0.5879888268156425,0.3589087809036658
5_RandomForest,123,1,0.653964824052045,0.5056948913126635,0.4206098843322818,0.6947368421052632,0.5486968449931413,0.3410059676044331
5_RandomForest,123,2,0.670477605627688,0.509060191094963,0.43036649214659684,0.6985314491548905,0.556910569105691,0.3506825938566553
5_RandomForest,123,3,0.6819116479305811,0.5494999834684691,0.46521508231545405,0.7209753394292048,0.6160337552742616,0.37372013651877134
5_RandomForest,123,4,0.6614819341029765,0.49011922593985796,0.41350210970464135,0.6918814075921308,0.5421853388658368,0.33418584825234443
5_RandomForest,123,5,0.672813978164979,0.5213321220073232,0.44936708860759494,0.7107231920199502,0.5892116182572614,0.3631713554987212
5_RandomForest,999,1,0.6643793589941374,0.5108291594838335,0.4431578947368421,0.7069252077562327,0.579092159559835,0.3589087809036658
5_RandomForest,999,2,0.6773949255014768,0.517518783581598,0.4483837330552659,0.7068440011083402,0.5764075067024129,0.36689419795221845
5_RandomForest,999,3,0.6645353698176997,0.5073870295272283,0.43093333333333333,0.7043502355223054,0.5746799431009957,0.3447098976109215
5_RandomForest,999,4,0.6599256394211858,0.5052333805211168,0.420824295010846,0.7040731504571903,0.5782414307004471,0.3307757885763001
5_RandomForest,999,5,0.6555405770504104,0.4973018662233722,0.436612309310889,0.7032418952618454,0.570054945054945,0.3537936913895993
6_XGBoost,42,1,0.6688444802195199,0.5266548124966597,0.4293537787513691,0.7113573407202216,0.6003062787136294,0.33418584825234443
6_XGBoost,42,2,0.6930820499102993,0.5496421844415282,0.4391854705558613,0.7176503186478249,0.6186046511627907,0.34044368600682595
6_XGBoost,42,3,0.6646537103611698,0.5098594931500692,0.43135135135135133,0.7085065114990302,0.588495575221239,0.34044368600682595
6_XGBoost,42,4,0.6872288645593169,0.536307344089775,0.44202504082743604,0.7159878082571349,0.6114457831325302,0.34612105711849955
6_XGBoost,42,5,0.6744259172934541,0.5248856920550307,0.4422657952069717,0.71626489332225,0.6123680241327301,0.34612105711849955
6_XGBoost,123,1,0.6627836483650569,0.5211649646229479,0.43066884176182707,0.7099722991689751,0.5945945945945946,0.3375959079283887
6_XGBoost,123,2,0.6802709858397487,0.5292300104810863,0.44576362655153806,0.715433638126905,0.6064610866372981,0.35238907849829354
6_XGBoost,123,3,0.6891108143650014,0.5546177080551169,0.4569247546346783,0.7240232751454697,0.6329305135951662,0.3575085324232082
6_XGBoost,123,4,0.6753493001398461,0.5192162551383717,0.42660802638812534,0.7110002770850651,0.6006191950464397,0.3307757885763001
6_XGBoost,123,5,0.6747897059873424,0.5321382742597591,0.44623655913978494,0.71460238293156,0.604075691411936,0.3537936913895993
6_XGBoost,999,1,0.6747190321419464,0.5184992527025143,0.43907675791733763,0.7105263157894737,0.5927536231884057,0.34867860187553285
6_XGBoost,999,2,0.683422765639508,0.5358398978944823,0.4514038876889849,0.7184815738431699,0.6147058823529412,0.35665529010238906
6_XGBoost,999,3,0.672916366147042,0.5260945173129331,0.4437194127243067,0.7165419783873649,0.6116941529235382,0.34812286689419797
6_XGBoost,999,4,0.6741872411133368,0.5231812563766445,0.4319912948857454,0.7107231920199502,0.5969924812030075,0.33844842284739984
6_XGBoost,999,5,0.6624761848767493,0.517673078602019,0.42479784366576817,0.7043502355223054,0.5777126099706745,0.3358908780903666
7_LightGBM,42,1,0.6846585095296616,0.5476272794393421,0.43277553375649164,0.7277008310249308,0.6696428571428571,0.319693094629156
7_LightGBM,42,2,0.7064925193371249,0.5695557045050221,0.45308924485125857,0.7351066777500693,0.6875,0.3378839590443686
7_LightGBM,42,3,0.6888662555791615,0.5353829607903944,0.43400447427293065,0.7195899141036298,0.6298701298701299,0.3310580204778157
7_LightGBM,42,4,0.7073110853536817,0.5667389289587401,0.4599659284497445,0.7364921030756443,0.6887755102040817,0.3452685421994885
7_LightGBM,42,5,0.7008409310750787,0.5511213464449265,0.4514317798989332,0.7292878913826545,0.6611842105263158,0.34271099744245526
7_LightGBM,123,1,0.6805759180802078,0.5444304850017532,0.43757159221076747,0.72797783933518,0.6666666666666666,0.3256606990622336
7_LightGBM,123,2,0.7023035091822458,0.5465945608853755,0.4403771491957848,0.7204211692989748,0.6291600633914421,0.3387372013651877
7_LightGBM,123,3,0.7059466823333674,0.5831068518143336,0.4590542099192618,0.7400942089221391,0.708185053380783,0.3395904436860068
7_LightGBM,123,4,0.6966723221022542,0.5446125949571858,0.4289788933257273,0.7226378498198948,0.6482758620689655,0.3205456095481671
7_LightGBM,123,5,0.7038231584487868,0.5656842388506621,0.45982142857142855,0.7317816569686894,0.6655896607431341,0.3512361466325661
7_LightGBM,999,1,0.6861076449633929,0.5311300973166079,0.43376187814421463,0.7193905817174515,0.6298701298701299,0.3307757885763001
7_LightGBM,999,2,0.707251754451075,0.5629494204242109,0.45263754963131025,0.7326129121640343,0.6751269035532995,0.34044368600682595
7_LightGBM,999,3,0.6918440257632266,0.551170059188838,0.44216524216524217,0.7287337212524245,0.6655231560891939,0.3310580204778157
7_LightGBM,999,4,0.6898891240654182,0.5476850115527592,0.44482173174872663,0.7281795511221946,0.6616161616161617,0.3350383631713555
7_LightGBM,999,5,0.6809998362163456,0.5447692248213556,0.43365330321852064,0.7220836796896647,0.6421404682274248,0.3273657289002558
8_CatBoost,42,1,0.6836525978966634,0.5461604094739192,0.440890919474586,0.728808864265928,0.6678200692041523,0.3290707587382779
8_CatBoost,42,2,0.708261325330058,0.5602315020810629,0.4441887226697353,0.7323358270989194,0.6819787985865724,0.3293515358361775
8_CatBoost,42,3,0.6986123695978242,0.5485549444199234,0.43240159726183686,0.7243003602105846,0.6523235800344234,0.32337883959044367
8_CatBoost,42,4,0.7076241291119146,0.5700631536248506,0.45821489482660605,0.7359379329454142,0.6877133105802048,0.3435635123614663
8_CatBoost,42,5,0.7086299287331125,0.5678513028362457,0.45157657657657657,0.7301191465779995,0.6650082918739635,0.34185848252344414
8_CatBoost,123,1,0.6885452009566917,0.5498371854296168,0.44011461318051576,0.7293628808864266,0.6713286713286714,0.3273657289002558
8_CatBoost,123,2,0.7014299599042633,0.5574125430718052,0.4464487034949267,0.7279024660570795,0.6578073089700996,0.3378839590443686
8_CatBoost,123,3,0.7045764879047561,0.5788417887896213,0.4608294930875576,0.7406483790523691,0.7092198581560284,0.3412969283276451
8_CatBoost,123,4,0.6951788461511541,0.5479171903177681,0.4327418431597023,0.7254087004710447,0.6585365853658537,0.32225063938618925
8_CatBoost,123,5,0.7023788525905115,0.5611964090235745,0.45877734155916994,0.7326129121640343,0.6704918032786885,0.34867860187553285
8_CatBoost,999,1,0.6944846447615459,0.5419302286956391,0.427515633882888,0.7210526315789474,0.6416382252559727,0.3205456095481671
8_CatBoost,999,2,0.7101005054331614,0.5798200875612978,0.4720496894409938,0.7409254641174841,0.6978297161936561,0.35665529010238906
8_CatBoost,999,3,0.6967222470418366,0.5667802268310287,0.44994246260069043,0.7351066777500693,0.6908127208480566,0.33361774744027306
8_CatBoost,999,4,0.6898901739606387,0.5510008482210809,0.44431818181818183,0.7290108063175395,0.666098807495741,0.3333333333333333
8_CatBoost,999,5,0.6880995776621494,0.5551033062234079,0.4379977246871445,0.7262399556663895,0.6581196581196581,0.32821824381926684
