config,fold,n_features,roc_auc,pr_auc,f1,accuracy,precision,recall,brier
2_Raw_Plus_Composite_Burden,18,19,0.667203809024972,0.5018029578083812,0.4284210526315789,0.6990856192851206,0.5590659340659341,0.34726962457337884,0.20606920247042715
2_Raw_Plus_Composite_Burden,19,19,0.655862019970407,0.4992813390498144,0.42011524358302776,0.6932668329177057,0.5448369565217391,0.34185848252344414,0.20892177995682235
2_Raw_Plus_Composite_Burden,20,19,0.6643166511982105,0.5091751521481453,0.44025157232704404,0.7040731504571903,0.5714285714285714,0.35805626598465473,0.20640856293874646
2_Raw_Plus_Composite_Burden,21,19,0.6708834146493338,0.5113497460982102,0.4475743348982786,0.7066481994459833,0.5766129032258065,0.3657289002557545,0.20448975758767626
2_Raw_Plus_Composite_Burden,22,19,0.6550663757403287,0.5000093729432616,0.42379182156133827,0.6993627043502355,0.5611814345991561,0.34044368600682595,0.20940826484362934
2_Raw_Plus_Composite_Burden,23,19,0.6621358227328684,0.5085368595796591,0.4330005254860746,0.7010252147409255,0.5636114911080712,0.3515358361774744,0.20712427147759843
2_Raw_Plus_Composite_Burden,24,19,0.6635750752074943,0.5013868842333514,0.43831337844872464,0.7010252147409255,0.5628342245989305,0.3589087809036658,0.2073410176631906
2_Raw_Plus_Composite_Burden,25,19,0.6704823358628809,0.5082781517060343,0.4225941422594142,0.6940980881130507,0.5466847090663058,0.34441602728047743,0.20515573446178328
3_Raw_Plus_Composite_Q4,1,19,0.6487453128295975,0.48002191710050457,0.4151530877010898,0.6878116343490305,0.5305039787798409,0.3410059676044331,0.21304650463232594
3_Raw_Plus_Composite_Q4,2,19,0.6809495183049713,0.5260439322667267,0.4521193092621664,0.7098919368246052,0.584573748308525,0.36860068259385664,0.20121041554235958
3_Raw_Plus_Composite_Q4,3,19,0.6640791635214225,0.4916764879342349,0.43125,0.6974231088944306,0.553475935828877,0.3532423208191126,0.2083372951963602
3_Raw_Plus_Composite_Q4,4,19,0.6693788959861806,0.5215428158100626,0.45515811301192327,0.7087835965641452,0.5806878306878307,0.3742540494458653,0.2041488425425402
3_Raw_Plus_Composite_Q4,5,19,0.6670448039285679,0.5068725943539004,0.4374025974025974,0.6999168744804655,0.5598404255319149,0.3589087809036658,0.2058490565235769
3_Raw_Plus_Composite_Q4,6,19,0.6663046014466516,0.5043735449514197,0.43046007403490216,0.7016620498614958,0.5668523676880223,0.34697357203751067,0.2062501517245912
3_Raw_Plus_Composite_Q4,7,19,0.6719859223770062,0.5219725426085189,0.44478844169246645,0.7018564699362705,0.5626631853785901,0.3677474402730375,0.20410839905038836
3_Raw_Plus_Composite_Q4,8,19,0.6522125480189513,0.48923625519602276,0.4265402843601896,0.6982543640897756,0.5570839064649243,0.3455631399317406,0.21020636794942393
3_Raw_Plus_Composite_Q4,9,19,0.6670078826133151,0.5168908789436619,0.43746673762639704,0.7071210861734553,0.5821529745042493,0.35038363171355497,0.20491847393952844
3_Raw_Plus_Composite_Q4,10,19,0.6628497725926952,0.49551397028434274,0.44433094994892747,0.6985314491548905,0.554140127388535,0.37084398976982097,0.2089984495937308
3_Raw_Plus_Composite_Q4,11,19,0.6712795874625385,0.5234949382654773,0.45306764551651807,0.7110803324099723,0.5885558583106267,0.36828644501278773,0.2035290007063192
3_Raw_Plus_Composite_Q4,12,19,0.6694638333092917,0.5172606955218364,0.45131375579598143,0.7049044056525353,0.5695708712613784,0.37372013651877134,0.20474239600938146
